game_id,game_date,gamepage_url,game_name,teamA,teamB,if_video,video_heading,video_page,game_rem_time,current_score,is-home-team,data-is-scoring,video_link,if_video_downloaded,video_id
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Adebayo REBOUND (Off:1 Def:0),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=18&GameID=0041900404&Season=2019-20&flag=1&title=Adebayo%20REBOUND%20(Off:1%20Def:0),10:25,,True,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/18/f57ac4e2-2f88-6b00-c140-aaa20967d352_1280x720.mp4,False,f57ac4e2-2f88-6b00-c140-aaa20967d352
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,MISS Herro 17' Pullup Jump Shot,https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=19&GameID=0041900404&Season=2019-20&flag=1&title=MISS%20Herro%2017%27%20Pullup%20Jump%20Shot,10:21,,True,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/19/bc889e51-3793-004a-c69d-93f9a343105e_1280x720.mp4,False,bc889e51-3793-004a-c69d-93f9a343105e
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Howard REBOUND (Off:1 Def:1),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=20&GameID=0041900404&Season=2019-20&flag=1&title=Howard%20REBOUND%20(Off:1%20Def:1),10:20,,False,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/20/0f9a2a7d-412a-05ca-99a0-45d967820c28_1280x720.mp4,False,0f9a2a7d-412a-05ca-99a0-45d967820c28
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Howard 3 Second Violation Turnover (P2.T3),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=21&GameID=0041900404&Season=2019-20&flag=1&title=Howard%203%20Second%20Violation%20Turnover%20(P2.T3),10:04,,False,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/21/6f90fe61-3e2b-8a12-c6a0-1fa02e3c9f3b_1280x720.mp4,False,6f90fe61-3e2b-8a12-c6a0-1fa02e3c9f3b
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,MISS Adebayo 4' Hook Shot,https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=22&GameID=0041900404&Season=2019-20&flag=1&title=MISS%20Adebayo%204%27%20Hook%20Shot,09:48,,True,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/22/b308fa55-58f6-73ab-0b08-267e7a31f130_1280x720.mp4,False,b308fa55-58f6-73ab-0b08-267e7a31f130
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Davis REBOUND (Off:0 Def:1),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=23&GameID=0041900404&Season=2019-20&flag=1&title=Davis%20REBOUND%20(Off:0%20Def:1),09:47,,False,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/23/f0744002-045c-0bac-50b0-43a5a511c0ad_1280x720.mp4,False,f0744002-045c-0bac-50b0-43a5a511c0ad
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,MISS Howard 3' Layup,https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=24&GameID=0041900404&Season=2019-20&flag=1&title=MISS%20Howard%203%27%20Layup,09:38,,False,False,,False,
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Crowder BLOCK (1 BLK),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=24&GameID=0041900404&Season=2019-20&flag=1&title=Crowder%20BLOCK%20(1%20BLK),09:38,,True,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/24/139c18fe-05ca-4543-99c1-0faaed5fbdda_1280x720.mp4,False,139c18fe-05ca-4543-99c1-0faaed5fbdda
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,James REBOUND (Off:1 Def:0),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=26&GameID=0041900404&Season=2019-20&flag=1&title=James%20REBOUND%20(Off:1%20Def:0),09:37,,False,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/26/cc26b89d-0b26-23bc-508b-36cd77076ce8_1280x720.mp4,False,cc26b89d-0b26-23bc-508b-36cd77076ce8
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Caldwell-Pope 3PT Jump Shot (3 PTS) (James 1 AST),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=27&GameID=0041900404&Season=2019-20&flag=1&title=Caldwell-Pope%203PT%20Jump%20Shot%20(3%20PTS)%20(James%201%20AST),09:33,5 - 2,False,True,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/27/2f909ee3-b64d-a4d4-b430-4fea7a34bee9_1280x720.mp4,False,2f909ee3-b64d-a4d4-b430-4fea7a34bee9
